Medical College,University
Dhaka Medical College (DMC),DU
Sir Salimullah Medical College (SSMC),DU
Shaheed Suhrawardy Medical College (ShSMC),DU
Mymensingh Medical College (MMC),DU
Chittagong Medical College (CMC),CMU
Rajshahi Medical College (RMC),RMU
Sylhet MAG Osmani Medical College (SOMC),SMU
"Sher-e-Bangla Medical College (SBMC), Barishal",DU
Rangpur Medical College (RpMC),RMU
Cumilla Medical College (CuMC),CMU
Khulna Medical College (KMC),KMU
"Shaheed Ziaur Rahman Medical College (SZMC), Bogura",RMU
Faridpur Medical College (FMC),DU
Dinajpur Medical College (DjMC),RMU
Pabna Medical College (PMC),RMU
Noakhali Medical College (NMC),CMU
Cox's Bazar Medical College (CoxMC),CMU
Jashore Medical College (JMC),KMU
Satkhira Medical College (SMC),KMU
"Shahid Syed Nazrul Islam Medical College (SSNIMC), Kishoreganj",DU
Kushtia Medical College (KuMC),KMU
Gopalganj Medical College (GGMC),DU
"Shaheed Tajuddin Ahmad Medical College (STAMC), Gazipur",DU
Tangail Medical College (TMC),DU
Jamalpur Medical College (JpMC),DU
Manikganj Medical College (MkMC),DU
"Shaheed M. Monsur Ali Medical College (SMMAMC), Sirajganj",RMU
Patuakhali Medical College (PkMC),DU
Rangamati Medical College (RmMC),CMU
Mugda Medical College (MuMC),DU
Habiganj Medical College (HMC),SMU
"Netrokona Medical College, Netrokona (NMC)",DU
Nilphamari Medical College (NpMC),RMU
Magura Medical College (MaMC),KMU
Naogaon Medical College (NaMC),RMU
Chandpur Medical College (ChMC),CMU
Sunamganj Medical College (SuMC),SMU
"Dhaka National Medical College (DNMC), Dhaka",DU
"Ibrahim Medical College (IMC), Dhaka",DU
"Bangladesh Medical College (BMCH), Dhaka",DU
"Holy Family Red Crescent Medical College (HFRCMC), Dhaka",DU
"Jahurul Islam Medical College (JIMC), Kishoreganj",DU
"Uttara Adhunik Medical College (UAMC), Dhaka",DU
"Shaheed Monsur Ali Medical College (SMAMC), Dhaka",DU
"Enam Medical College and Hospital (EMCH), Savar",DU
