Name_En,Acronym,Name_Bn,University_Acronym,University
Dhaka Medical College,DMC,ঢাকা মেডিকেল কলেজ,DU,Dhaka University
Sir Salimullah Medical College,SSMC,স্যার সলিমুল্লাহ মেডিকেল কলেজ,DU,Dhaka University
Shaheed Suhrawardy Medical College,ShSMC,শহীদ সোহরাওয়ার্দী মেডিকেল কলেজ,DU,Dhaka University
Mymensingh Medical College,MMC,ময়মনসিংহ মেডিকেল কলেজ,DU,Dhaka University
Chittagong Medical College,CMC,চট্টগ্রাম মেডিকেল কলেজ,CMU,Chittagong University
Rajshahi Medical College,RMC,রাজশাহী মেডিকেল কলেজ,RMU,Rajshahi University
Sylhet MAG Osmani Medical College,SOMC,সিলেট এম.এ.জি. ওসমানী মেডিকেল কলেজ,SMU,Sylhet Medical University
"Sher-e-Bangla Medical College, Barishal",SBMC,"শের-এ-বাংলা মেডিকেল কলেজ, বরিশাল",DU,Dhaka University
Rangpur Medical College,RpMC,রংপুর মেডিকেল কলেজ,RMU,Rajshahi University
Cumilla Medical College,CuMC,কুমিল্লা মেডিকেল কলেজ,CMU,Chittagong University
Khulna Medical College,KMC,খুলনা মেডিকেল কলেজ,KMU,Khulna Medical University
"Shaheed Ziaur Rahman Medical College, Bogura",SZMC,"শহীদ জিয়াউর রহমান মেডিকেল কলেজ, বগুড়া",RMU,Rajshahi University
Faridpur Medical College,FMC,ফরিদপুর মেডিকেল কলেজ,DU,Dhaka University
Dinajpur Medical College,DjMC,দিনাজপুর মেডিকেল কলেজ,RMU,Rajshahi University
Pabna Medical College,PMC,পাবনা মেডিকেল কলেজ,RMU,Rajshahi University
Noakhali Medical College,NMC,নোয়াখালী মেডিকেল কলেজ,CMU,Chittagong University
Cox's Bazar Medical College,CoxMC,কক্সবাজার মেডিকেল কলেজ,CMU,Chittagong University
Jashore Medical College,JMC,যশোর মেডিকেল কলেজ,KMU,Khulna Medical University
Satkhira Medical College,SMC,সাতক্ষীরা মেডিকেল কলেজ,KMU,Khulna Medical University
"Shahid Syed Nazrul Islam Medical College, Kishoreganj",SSNIMC,"শহীদ সৈয়দ নজরুল ইসলাম মেডিকেল কলেজ, কিশোরগঞ্জ",DU,Dhaka University
